order_id,order_date,store_id,product_id,quantity,unit_price,discount_pct,sales_channel,loyalty_member
20260717-0001,2026-07-17,S007,P1040,2,92.49,15,in_store,Y
20260717-0002,2026-07-17,S008,P1046,2,186.74,20,in_store,Y
20260717-0003,2026-07-17,S008,P1040,1,87.05,20,ship_from_store,Y
20260717-0004,2026-07-17,S004,P1057,2,348.64,15,pickup,N
20260717-0005,2026-07-17,S008,P1018,1,138.02,10,in_store,Y
20260717-0006,2026-07-17,S006,P1024,2,90.59,0,in_store,N
20260717-0007,2026-07-17,S005,P1013,4,97.39,0,in_store,Y
20260717-0008,2026-07-17,S006,P1066,4,94.39,10,in_store,Y
20260717-0009,2026-07-17,S002,P1003,1,448.98,0,in_store,Y
20260717-0010,2026-07-17,S003,P1031,4,173.53,0,in_store,Y
20260717-0011,2026-07-17,S006,P1073,2,119.05,5,pickup,Y
20260717-0012,2026-07-17,S005,P1070,3,202.52,0,in_store,N
20260717-0013,2026-07-17,S002,P1029,2,119.63,5,in_store,Y
20260717-0014,2026-07-17,S004,P1063,4,67.93,15,ship_from_store,Y
20260717-0015,2026-07-17,S002,P1057,4,389.66,5,ship_from_store,Y
20260717-0016,2026-07-17,S001,P1026,1,104.32,20,in_store,N
20260717-0017,2026-07-17,S007,P1010,1,524.81,5,in_store,Y
20260717-0018,2026-07-17,S005,P1071,4,143.3,0,pickup,Y
20260717-0019,2026-07-17,S002,P1007,1,112.42,0,in_store,Y
20260717-0020,2026-07-17,S003,P1075,2,156.96,5,in_store,Y
20260717-0021,2026-07-17,S003,P1031,1,173.53,0,in_store,Y
20260717-0022,2026-07-17,S004,P1038,3,177.19,10,in_store,Y
20260717-0023,2026-07-17,S002,P1001,2,130.82,0,ship_from_store,N
20260717-0024,2026-07-17,S003,P1008,1,175.5,0,ship_from_store,N
20260717-0025,2026-07-17,S003,P1022,4,349.84,10,in_store,Y
20260717-0026,2026-07-17,S007,P1028,1,647.52,0,in_store,Y
20260717-0027,2026-07-17,S007,P1014,1,204.67,0,in_store,Y
20260717-0028,2026-07-17,S003,P1034,1,135.09,20,pickup,N
20260717-0029,2026-07-17,S008,P1080,3,128.7,10,in_store,Y
20260717-0030,2026-07-17,S006,P1075,1,165.22,0,in_store,Y
20260717-0031,2026-07-17,S001,P1041,2,54.6,0,in_store,Y
20260717-0032,2026-07-17,S004,P1059,1,105.5,0,in_store,Y
20260717-0033,2026-07-17,S001,P1015,1,172.68,10,ship_from_store,Y
20260717-0034,2026-07-17,S004,P1031,2,138.82,20,in_store,Y
20260717-0035,2026-07-17,S006,P1042,3,92.2,20,in_store,Y
20260717-0036,2026-07-17,S003,P1040,2,97.93,10,ship_from_store,N
20260717-0037,2026-07-17,S006,P1018,1,145.69,5,in_store,Y
20260717-0038,2026-07-17,S005,P1063,1,63.94,20,ship_from_store,Y
