order_date,order_id,new_product_id,store_id,sales_channel,loyalty_member,quantity,discount_pct,unit_price
2026-08-07,20260807-0001,NP5046,S003,in_store,Y,1,0,228.91
2026-08-07,20260807-0002,NP5075,S004,in_store,Y,4,5,261.03
2026-08-07,20260807-0003,NP5023,S004,in_store,Y,1,10,130.36
2026-08-07,20260807-0004,NP5036,S001,in_store,Y,1,15,132.98
2026-08-07,20260807-0005,NP5008,S001,pickup,Y,1,10,157.67
2026-08-07,20260807-0006,NP5068,S008,in_store,Y,4,0,86.31
2026-08-07,20260807-0007,NP5061,S008,ship_from_store,N,3,0,154.19
2026-08-07,20260807-0008,NP5053,S006,in_store,Y,2,5,106.14
2026-08-07,20260807-0009,NP5041,S003,pickup,Y,1,15,45.51
2026-08-07,20260807-0010,NP5028,S002,in_store,Y,1,15,534.7
2026-08-07,20260807-0011,NP5050,S003,in_store,Y,2,0,74.44
2026-08-07,20260807-0012,NP5033,S002,in_store,Y,3,15,159.46
2026-08-07,20260807-0013,NP5012,S003,ship_from_store,Y,1,15,102.04
2026-08-07,20260807-0014,NP5016,S006,in_store,Y,4,0,648.67
2026-08-07,20260807-0015,NP5028,S006,pickup,Y,3,0,629.06
2026-08-07,20260807-0016,NP5051,S007,in_store,Y,2,5,407.57
2026-08-07,20260807-0017,NP5053,S008,ship_from_store,Y,1,10,100.56
2026-08-07,20260807-0018,NP5033,S007,in_store,Y,2,0,187.6
2026-08-07,20260807-0019,NP5043,S008,in_store,Y,2,0,237.41
2026-08-07,20260807-0020,NP5030,S008,ship_from_store,N,4,5,122.13
2026-08-07,20260807-0021,NP5005,S007,pickup,N,2,0,112.37
2026-08-07,20260807-0022,NP5065,S003,ship_from_store,Y,1,0,107.67
2026-08-07,20260807-0023,NP5047,S002,pickup,N,1,0,58.07
2026-08-07,20260807-0024,NP5052,S005,in_store,N,1,0,378.16
2026-08-07,20260807-0025,NP5068,S001,in_store,Y,2,20,69.05
2026-08-07,20260807-0026,NP5007,S005,in_store,Y,2,5,103.64
2026-08-07,20260807-0027,NP5057,S008,ship_from_store,Y,3,20,319.69
2026-08-07,20260807-0028,NP5043,S007,in_store,Y,1,20,189.93
