order_id,order_date,store_id,new_product_id,quantity,unit_price,discount_pct,sales_channel,loyalty_member
20260823-0001,2026-08-23,S006,NP5021,2,58.96,20,in_store,Y
20260823-0002,2026-08-23,S001,NP5023,2,137.6,5,ship_from_store,Y
20260823-0003,2026-08-23,S004,NP5036,2,132.98,15,in_store,Y
20260823-0004,2026-08-23,S003,NP5016,1,583.8,10,in_store,N
20260823-0005,2026-08-23,S007,NP5007,3,109.09,0,in_store,Y
20260823-0006,2026-08-23,S001,NP5012,1,120.05,0,in_store,Y
20260823-0007,2026-08-23,S008,NP5021,1,66.33,10,ship_from_store,Y
20260823-0008,2026-08-23,S004,NP5061,1,146.48,5,ship_from_store,Y
20260823-0009,2026-08-23,S008,NP5016,3,518.94,20,in_store,Y
20260823-0010,2026-08-23,S005,NP5025,2,109.23,10,in_store,Y
20260823-0011,2026-08-23,S005,NP5057,3,399.61,0,in_store,N
20260823-0012,2026-08-23,S006,NP5046,1,228.91,0,ship_from_store,Y
20260823-0013,2026-08-23,S002,NP5020,1,197.02,5,in_store,N
20260823-0014,2026-08-23,S001,NP5039,1,358.39,0,in_store,N
20260823-0015,2026-08-23,S008,NP5066,2,85.83,15,in_store,Y
20260823-0016,2026-08-23,S007,NP5020,4,176.28,15,in_store,Y
20260823-0017,2026-08-23,S006,NP5063,3,65.64,15,ship_from_store,N
20260823-0018,2026-08-23,S001,NP5002,3,185.01,10,pickup,Y
20260823-0019,2026-08-23,S006,NP5059,1,108.91,0,in_store,Y
20260823-0020,2026-08-23,S004,NP5032,4,180.39,10,ship_from_store,N
20260823-0021,2026-08-23,S006,NP5020,3,165.91,20,in_store,Y
20260823-0022,2026-08-23,S005,NP5037,1,89.38,0,in_store,Y
20260823-0023,2026-08-23,S003,NP5052,1,378.16,0,ship_from_store,Y
20260823-0024,2026-08-23,S001,NP5052,3,378.16,0,pickup,Y
20260823-0025,2026-08-23,S004,NP5017,4,63.28,0,pickup,Y
20260823-0026,2026-08-23,S003,NP5066,1,100.98,0,in_store,Y
20260823-0027,2026-08-23,S008,NP5049,3,223.44,0,in_store,Y
20260823-0028,2026-08-23,S004,NP5007,1,109.09,0,in_store,N
20260823-0029,2026-08-23,S006,NP5073,2,73.1,20,in_store,N
20260823-0030,2026-08-23,S001,NP5015,1,181.2,5,pickup,Y
20260823-0031,2026-08-23,S005,NP5008,4,157.67,10,in_store,Y
20260823-0032,2026-08-23,S007,NP5070,4,136.05,5,pickup,Y
20260823-0033,2026-08-23,S006,NP5061,3,131.06,15,pickup,Y
20260823-0034,2026-08-23,S002,NP5013,2,99.43,0,in_store,N
20260823-0035,2026-08-23,S008,NP5002,4,164.46,20,pickup,Y
20260823-0036,2026-08-23,S005,NP5014,1,212.08,0,in_store,Y
20260823-0037,2026-08-23,S004,NP5053,1,106.14,5,ship_from_store,Y
20260823-0038,2026-08-23,S006,NP5005,4,89.9,20,in_store,Y
20260823-0039,2026-08-23,S005,NP5051,4,386.12,10,in_store,Y
20260823-0040,2026-08-23,S005,NP5021,1,62.65,15,in_store,Y
20260823-0041,2026-08-23,S008,NP5062,2,138.8,15,in_store,Y
20260823-0042,2026-08-23,S006,NP5054,3,58.13,20,in_store,N
20260823-0043,2026-08-23,S005,NP5003,2,397.47,10,pickup,Y
20260823-0044,2026-08-23,S007,NP5023,4,115.87,20,in_store,Y
20260823-0045,2026-08-23,S004,NP5016,4,551.37,15,in_store,Y
20260823-0046,2026-08-23,S002,NP5048,2,58.16,20,pickup,Y
20260823-0047,2026-08-23,S006,NP5004,1,87.17,20,in_store,Y
20260823-0048,2026-08-23,S002,NP5027,3,93.13,0,ship_from_store,Y
20260823-0049,2026-08-23,S003,NP5060,1,166.65,0,pickup,Y
20260823-0050,2026-08-23,S001,NP5044,1,193.76,0,in_store,Y
20260823-0051,2026-08-23,S005,NP5048,1,61.8,15,in_store,Y
20260823-0052,2026-08-23,S005,NP5035,4,144.26,0,in_store,Y
20260823-0053,2026-08-23,S008,NP5019,1,143.94,20,in_store,N
20260823-0054,2026-08-23,S006,NP5069,4,199.12,10,in_store,Y
20260823-0055,2026-08-23,S008,NP5066,3,100.98,0,in_store,Y
20260823-0056,2026-08-23,S004,NP5076,2,125.7,20,pickup,Y
20260823-0057,2026-08-23,S003,NP5012,1,108.05,10,ship_from_store,Y
20260823-0058,2026-08-23,S005,NP5042,1,95.51,15,in_store,Y
20260823-0059,2026-08-23,S001,NP5054,1,61.76,15,pickup,Y
20260823-0060,2026-08-23,S005,NP5033,4,187.6,0,in_store,Y
20260823-0061,2026-08-23,S003,NP5002,2,195.29,5,ship_from_store,Y
20260823-0062,2026-08-23,S002,NP5054,2,72.66,0,in_store,N
20260823-0063,2026-08-23,S003,NP5001,2,129.77,0,pickup,N
20260823-0064,2026-08-23,S003,NP5004,4,108.96,0,pickup,Y
20260823-0065,2026-08-23,S003,NP5040,2,91.39,15,in_store,Y
20260823-0066,2026-08-23,S006,NP5036,1,156.45,0,in_store,Y
20260823-0067,2026-08-23,S008,NP5060,1,149.99,10,in_store,Y
20260823-0068,2026-08-23,S004,NP5022,1,310.01,20,in_store,Y
20260823-0069,2026-08-23,S006,NP5026,2,128.7,0,ship_from_store,Y
20260823-0070,2026-08-23,S003,NP5037,2,89.38,0,ship_from_store,Y
20260823-0071,2026-08-23,S002,NP5017,3,53.79,15,pickup,Y
20260823-0072,2026-08-23,S006,NP5062,1,163.29,0,in_store,Y
20260823-0073,2026-08-23,S001,NP5061,1,154.19,0,ship_from_store,N
20260823-0074,2026-08-23,S006,NP5036,1,132.98,15,in_store,N
20260823-0075,2026-08-23,S001,NP5060,1,141.65,15,in_store,Y
20260823-0076,2026-08-23,S007,NP5028,1,534.7,15,ship_from_store,N
20260823-0077,2026-08-23,S002,NP5070,2,114.57,20,in_store,Y
20260823-0078,2026-08-23,S005,NP5006,4,44.3,20,in_store,Y
20260823-0079,2026-08-23,S001,NP5034,1,143.37,15,in_store,Y
20260823-0080,2026-08-23,S004,NP5046,4,194.57,15,ship_from_store,Y
20260823-0081,2026-08-23,S005,NP5003,3,441.63,0,in_store,Y
20260823-0082,2026-08-23,S001,NP5052,3,321.44,15,in_store,N
20260823-0083,2026-08-23,S003,NP5058,1,244.05,15,in_store,Y
20260823-0084,2026-08-23,S001,NP5043,1,225.54,5,in_store,N
20260823-0085,2026-08-23,S004,NP5031,2,171.54,0,in_store,Y
20260823-0086,2026-08-23,S004,NP5050,1,67.0,10,in_store,Y
20260823-0087,2026-08-23,S007,NP5060,2,166.65,0,in_store,N
20260823-0088,2026-08-23,S008,NP5048,1,72.7,0,in_store,Y
20260823-0089,2026-08-23,S007,NP5031,2,171.54,0,pickup,Y
20260823-0090,2026-08-23,S003,NP5027,1,88.47,5,in_store,Y
20260823-0091,2026-08-23,S002,NP5020,1,165.91,20,in_store,Y
20260823-0092,2026-08-23,S004,NP5037,3,84.91,5,in_store,N
20260823-0093,2026-08-23,S005,NP5060,1,141.65,15,in_store,Y
20260823-0094,2026-08-23,S008,NP5056,1,141.35,5,in_store,N
20260823-0095,2026-08-23,S007,NP5026,1,128.7,0,in_store,N
20260823-0096,2026-08-23,S008,NP5024,2,83.95,5,in_store,Y
20260823-0097,2026-08-23,S005,NP5032,2,180.39,10,pickup,N
20260823-0098,2026-08-23,S005,NP5034,1,168.67,0,pickup,Y
20260823-0099,2026-08-23,S005,NP5054,3,72.66,0,ship_from_store,Y
20260823-0100,2026-08-23,S007,NP5006,2,44.3,20,in_store,Y
20260823-0101,2026-08-23,S003,NP5045,4,274.84,20,in_store,N
20260823-0102,2026-08-23,S001,NP5014,1,212.08,0,pickup,Y
20260823-0103,2026-08-23,S007,NP5041,1,48.19,10,ship_from_store,Y
