order_id,order_date,store_id,product_id,quantity,unit_price,discount_pct,sales_channel,loyalty_member
20260727-0001,2026-07-27,S001,P1036,3,126.18,20,in_store,Y
20260727-0002,2026-07-27,S007,P1027,2,82.83,10,in_store,Y
20260727-0003,2026-07-27,S004,P1028,2,518.02,20,in_store,N
20260727-0004,2026-07-27,S002,P1074,1,153.36,20,in_store,Y
20260727-0005,2026-07-27,S003,P1016,1,570.68,10,in_store,Y
20260727-0006,2026-07-27,S002,P1005,2,111.54,0,in_store,N
20260727-0007,2026-07-27,S004,P1045,2,278.73,20,pickup,Y
20260727-0008,2026-07-27,S003,P1046,1,186.74,20,in_store,N
20260727-0009,2026-07-27,S004,P1001,1,117.74,10,ship_from_store,Y
20260727-0010,2026-07-27,S002,P1071,2,121.81,15,in_store,Y
20260727-0011,2026-07-27,S003,P1065,3,95.93,15,pickup,Y
20260727-0012,2026-07-27,S007,P1072,1,107.43,20,ship_from_store,Y
20260727-0013,2026-07-27,S001,P1036,1,157.72,0,in_store,Y
20260727-0014,2026-07-27,S003,P1023,1,141.44,0,pickup,Y
20260727-0015,2026-07-27,S001,P1040,1,103.37,5,in_store,Y
20260727-0016,2026-07-27,S008,P1045,2,330.99,5,in_store,N
20260727-0017,2026-07-27,S006,P1061,4,147.84,0,ship_from_store,Y
20260727-0018,2026-07-27,S006,P1077,2,95.15,0,in_store,Y
20260727-0019,2026-07-27,S008,P1015,1,191.87,0,in_store,N
20260727-0020,2026-07-27,S005,P1069,2,256.36,0,pickup,Y
20260727-0021,2026-07-27,S004,P1058,1,263.59,0,in_store,Y
20260727-0022,2026-07-27,S004,P1055,1,235.93,15,pickup,Y
20260727-0023,2026-07-27,S007,P1015,4,172.68,10,ship_from_store,Y
20260727-0024,2026-07-27,S004,P1043,4,192.8,20,in_store,Y
20260727-0025,2026-07-27,S001,P1031,2,156.18,10,in_store,Y
20260727-0026,2026-07-27,S006,P1062,1,153.62,10,ship_from_store,Y
20260727-0027,2026-07-27,S002,P1031,1,147.5,15,ship_from_store,Y
20260727-0028,2026-07-27,S004,P1075,4,132.18,20,in_store,N
20260727-0029,2026-07-27,S007,P1075,2,165.22,0,in_store,Y
20260727-0030,2026-07-27,S004,P1009,1,97.97,15,ship_from_store,N
20260727-0031,2026-07-27,S003,P1042,1,115.25,0,ship_from_store,Y
20260727-0032,2026-07-27,S005,P1013,1,97.39,0,in_store,N
20260727-0033,2026-07-27,S006,P1036,1,157.72,0,in_store,Y
20260727-0034,2026-07-27,S006,P1055,3,249.81,10,in_store,Y
20260727-0035,2026-07-27,S004,P1063,4,79.92,0,in_store,Y
20260727-0036,2026-07-27,S002,P1003,1,448.98,0,in_store,Y
20260727-0037,2026-07-27,S003,P1078,1,146.35,0,pickup,Y
20260727-0038,2026-07-27,S004,P1043,1,241.0,0,in_store,N
20260727-0039,2026-07-27,S003,P1045,3,348.41,0,in_store,Y
20260727-0040,2026-07-27,S003,P1065,1,90.29,20,in_store,Y
20260727-0041,2026-07-27,S002,P1049,1,177.61,20,ship_from_store,Y
20260727-0042,2026-07-27,S006,P1021,1,73.74,0,pickup,Y
20260727-0043,2026-07-27,S008,P1049,1,222.01,0,in_store,Y
20260727-0044,2026-07-27,S004,P1026,2,123.88,5,pickup,N
20260727-0045,2026-07-27,S008,P1077,2,95.15,0,ship_from_store,Y
20260727-0046,2026-07-27,S003,P1027,4,87.43,5,pickup,Y
20260727-0047,2026-07-27,S008,P1063,1,75.92,5,in_store,Y
20260727-0048,2026-07-27,S003,P1075,2,165.22,0,in_store,Y
20260727-0049,2026-07-27,S007,P1046,2,198.41,15,in_store,Y
20260727-0050,2026-07-27,S004,P1006,1,55.91,0,ship_from_store,Y
20260727-0051,2026-07-27,S003,P1050,1,75.31,0,in_store,Y
20260727-0052,2026-07-27,S001,P1060,1,154.39,0,ship_from_store,Y
20260727-0053,2026-07-27,S002,P1043,1,241.0,0,in_store,Y
20260727-0054,2026-07-27,S007,P1052,4,369.46,5,in_store,Y
20260727-0055,2026-07-27,S005,P1009,2,92.21,20,in_store,Y
20260727-0056,2026-07-27,S003,P1051,2,339.32,20,ship_from_store,Y
20260727-0057,2026-07-27,S005,P1049,2,210.91,5,ship_from_store,Y
20260727-0058,2026-07-27,S004,P1030,2,113.63,10,ship_from_store,N
20260727-0059,2026-07-27,S001,P1016,1,634.09,0,in_store,Y
20260727-0060,2026-07-27,S006,P1058,1,224.05,15,pickup,Y
20260727-0061,2026-07-27,S002,P1026,1,130.4,0,in_store,N
20260727-0062,2026-07-27,S008,P1067,3,253.63,5,in_store,Y
20260727-0063,2026-07-27,S006,P1080,1,128.7,10,in_store,Y
20260727-0064,2026-07-27,S006,P1035,3,125.57,15,pickup,N
20260727-0065,2026-07-27,S005,P1012,1,123.66,0,ship_from_store,Y
20260727-0066,2026-07-27,S008,P1011,2,133.07,0,pickup,Y
20260727-0067,2026-07-27,S007,P1064,1,614.45,0,pickup,N
20260727-0068,2026-07-27,S004,P1018,1,153.36,0,in_store,Y
20260727-0069,2026-07-27,S006,P1006,3,53.11,5,ship_from_store,Y
20260727-0070,2026-07-27,S002,P1064,4,491.56,20,in_store,Y
20260727-0071,2026-07-27,S004,P1009,1,92.21,20,in_store,N
20260727-0072,2026-07-27,S005,P1060,3,154.39,0,in_store,Y
20260727-0073,2026-07-27,S001,P1037,2,91.75,0,in_store,N
20260727-0074,2026-07-27,S001,P1045,1,278.73,20,pickup,Y
20260727-0075,2026-07-27,S006,P1033,1,189.46,0,in_store,Y
20260727-0076,2026-07-27,S001,P1070,1,162.02,20,in_store,Y
20260727-0077,2026-07-27,S001,P1061,4,133.06,10,in_store,Y
20260727-0078,2026-07-27,S002,P1019,1,143.19,20,ship_from_store,Y
20260727-0079,2026-07-27,S004,P1007,2,112.42,0,ship_from_store,Y
20260727-0080,2026-07-27,S004,P1013,1,97.39,0,in_store,N
20260727-0081,2026-07-27,S005,P1038,1,196.88,0,in_store,Y
20260727-0082,2026-07-27,S002,P1058,1,263.59,0,pickup,N
20260727-0083,2026-07-27,S006,P1032,1,174.67,10,in_store,N
20260727-0084,2026-07-27,S004,P1060,2,138.95,10,in_store,Y
20260727-0085,2026-07-27,S001,P1012,1,105.11,15,in_store,Y
20260727-0086,2026-07-27,S008,P1003,3,448.98,0,ship_from_store,Y
20260727-0087,2026-07-27,S003,P1038,3,157.5,20,pickup,Y
20260727-0088,2026-07-27,S004,P1062,2,162.16,5,in_store,Y
20260727-0089,2026-07-27,S008,P1067,2,266.98,0,in_store,Y
20260727-0090,2026-07-27,S001,P1045,4,296.15,15,in_store,N
20260727-0091,2026-07-27,S004,P1061,3,147.84,0,in_store,N
20260727-0092,2026-07-27,S008,P1058,2,263.59,0,ship_from_store,Y
20260727-0093,2026-07-27,S007,P1067,1,253.63,5,in_store,Y
20260727-0094,2026-07-27,S004,P1021,2,70.05,5,in_store,N
20260727-0095,2026-07-27,S003,P1023,1,127.3,10,ship_from_store,Y
20260727-0096,2026-07-27,S004,P1052,1,350.02,10,in_store,N
20260727-0097,2026-07-27,S002,P1028,2,615.14,5,ship_from_store,Y
20260727-0098,2026-07-27,S004,P1031,2,173.53,0,pickup,Y
