order_id,order_date,store_id,new_product_id,quantity,unit_price,discount_pct,sales_channel,loyalty_member
20260731-0001,2026-07-31,S003,NP5050,1,74.44,0,in_store,Y
20260731-0002,2026-07-31,S007,NP5035,2,144.26,0,in_store,N
20260731-0003,2026-07-31,S002,NP5046,3,183.13,20,ship_from_store,Y
20260731-0004,2026-07-31,S008,NP5044,1,155.01,20,ship_from_store,N
20260731-0005,2026-07-31,S008,NP5006,3,49.84,10,in_store,N
20260731-0006,2026-07-31,S003,NP5020,1,186.65,10,in_store,N
20260731-0007,2026-07-31,S007,NP5016,2,616.24,5,pickup,N
20260731-0008,2026-07-31,S004,NP5050,2,67.0,10,in_store,N
20260731-0009,2026-07-31,S008,NP5025,1,121.37,0,ship_from_store,Y
20260731-0010,2026-07-31,S007,NP5060,1,166.65,0,in_store,Y
20260731-0011,2026-07-31,S002,NP5024,4,88.37,0,pickup,Y
20260731-0012,2026-07-31,S003,NP5054,2,61.76,15,in_store,N
20260731-0013,2026-07-31,S003,NP5029,1,104.07,15,in_store,Y
20260731-0014,2026-07-31,S001,NP5072,2,715.71,10,in_store,N
20260731-0015,2026-07-31,S004,NP5056,2,148.79,0,in_store,Y
20260731-0016,2026-07-31,S002,NP5051,2,429.02,0,in_store,N
20260731-0017,2026-07-31,S005,NP5074,3,130.96,20,ship_from_store,Y
20260731-0018,2026-07-31,S006,NP5039,3,358.39,0,ship_from_store,N
20260731-0019,2026-07-31,S003,NP5071,1,220.05,0,in_store,Y
20260731-0020,2026-07-31,S006,NP5016,2,648.67,0,in_store,N
20260731-0021,2026-07-31,S001,NP5008,1,166.43,5,ship_from_store,Y
20260731-0022,2026-07-31,S001,NP5030,3,109.28,15,in_store,Y
20260731-0023,2026-07-31,S002,NP5033,2,159.46,15,in_store,Y
20260731-0024,2026-07-31,S001,NP5002,4,205.57,0,pickup,N
20260731-0025,2026-07-31,S006,NP5015,1,171.67,10,in_store,N
20260731-0026,2026-07-31,S003,NP5049,3,212.27,5,pickup,Y
