legacy_product_id,canonical_product_id,canonical_product_name
P1001,NP5001,SummitRunner Lightweight Jacket 200
P1003,NP5003,CreekRambler 2P Camp Chair 202
P1004,NP5004,Storm Nomad Compact Cooler 203
P1005,NP5005,EmberRunner Storm Kit Battery Pack 204
P1006,NP5006,Trail Rover 20oz Tumbler 205
P1007,NP5007,HearthRambler Storm proof Jacket 206
P1008,NP5008,CanyonNomad Waterproof Trail Shoes 207
P1009,NP5009,PineRunner 4P Tent 208
P1010,NP5010,VistaRover Deluxe Patio Heater 209
P1011,NP5011,BoulderRambler Rechargeable Flashlight 210
P1012,NP5012,CloudNomad 32oz Tumbler 211
P1013,NP5013,FieldRunner Packable Jacket 212
P1014,NP5014,SwitchbackRover Wide Trail Shoes 213
P1016,NP5016,PeakNomad XL Cooler 215
P1017,NP5017,SummitRunner Mini Battery Pack 216
P1018,NP5018,RidgeRover Trail Tumbler 217
P1019,NP5019,CreekRambler Alpine Jacket 218
P1020,NP5020,Storm Nomad Approach Trail Shoes 219
P1021,NP5021,EmberRunner Basecamp Tent 220
P1022,NP5022,Trail Rover Weekend Patio Heater 221
P1023,NP5023,HearthRambler Expedition Flashlight 222
P1024,NP5024,CanyonNomad Travel Tumbler 223
P1025,NP5025,PineRunner Lightweight Jacket 224
P1026,NP5026,VistaRover Mid Trail Shoes 225
P1027,NP5027,BoulderRambler 2P Camp Chair 226
P1028,NP5028,CloudNomad Compact Cooler 227
P1029,NP5029,FieldRunner Storm Kit Battery Pack 228
P1030,NP5030,SwitchbackRover 20oz Tumbler 229
P1031,NP5031,MoonRambler Storm proof Jacket 230
P1032,NP5032,PeakNomad Waterproof Trail Shoes 231
P1033,NP5033,SummitRunner 4P Tent 232
P1034,NP5034,RidgeRover Deluxe Patio Heater 233
P1035,NP5035,CreekRambler Rechargeable Flashlight 234
P1036,NP5036,Storm Nomad 32oz Tumbler 235
P1037,NP5037,EmberRunner Packable Jacket 236
P1038,NP5038,Trail Rover Wide Trail Shoes 237
P1039,NP5039,HearthRambler Ultralight Camp Chair 238
P1040,NP5040,CanyonNomad XL Cooler 239
P1041,NP5041,PineRunner Mini Battery Pack 240
P1042,NP5042,VistaRover Trail Tumbler 241
P1043,NP5043,BoulderRambler Alpine Jacket 242
P1044,NP5044,CloudNomad Approach Trail Shoes 243
P1045,NP5045,FieldRunner Basecamp Tent 244
P1046,NP5046,SwitchbackRover Weekend Patio Heater 245
P1047,NP5047,MoonRambler Expedition Flashlight 246
P1048,NP5048,PeakNomad Travel Tumbler 247
P1049,NP5049,SummitRunner Lightweight Jacket 248
P1050,NP5050,RidgeRover Mid Trail Shoes 249
P1051,NP5051,CreekRambler 2P Camp Chair 250
P1052,NP5052,Storm Nomad Compact Cooler 251
P1053,NP5053,EmberRunner Storm Kit Battery Pack 252
P1054,NP5054,Trail Rover 20oz Tumbler 253
P1055,NP5055,HearthRambler Storm proof Jacket 254
P1056,NP5056,CanyonNomad Waterproof Trail Shoes 255
P1058,NP5058,VistaRover-Deluxe-Patio-Heater-257
P1060,NP5060,CloudNomad-32oz-Tumbler-259
P1062,NP5062,SwitchbackRover-Wide-Trail-Shoes-261
P1064,NP5064,PeakNomad-XL-Cooler-263
P1066,NP5066,RidgeRover-Trail-Tumbler-265
P1068,NP5068,StormNomad-Approach-Trail-Shoes-267
P1002,NP5002,RidgeRover Mid Trail Shoes 201
P1015,NP5015,MoonRambler Ultralight Camp Chair 214
P1057,NP5057,PineRunner 4P Tent 256 Pro
P1059,NP5059,BoulderRambler Rechargeable Flashlight 258 Pro
P1061,NP5061,FieldRunner Packable Jacket 260 Pro
P1063,NP5063,MoonRambler Ultralight Camp Chair 262 Pro
P1065,NP5065,SummitRunner Mini Battery Pack 264 Pro
P1067,NP5067,CreekRambler Alpine Jacket 266 Pro
P1070,NP5069,BoulderNomad Patio Heater
P1072,NP5070,FieldPacer Insulated Tumbler
P1076,NP5072,SummitRover Cooler
P1077,NP5077,FieldRunner Battery Pack Alt
P1078,NP5078,SwitchbackRover Insulated Tumbler Alt
P1079,NP5079,MoonRambler Rain Shell Alt
P1080,NP5080,PeakNomad Trail Shoes Alt
,NP5071,MoonScout Trail Shoes
,NP5073,FieldRunner Battery Pack
,NP5074,SwitchbackRover Insulated Tumbler
,NP5075,MoonRambler Rain Shell
,NP5076,PeakNomad Trail Shoes
